Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,29.0,1997.0,29,29,2610,29.0,0,0,0,0,0,0,3,0,0.0,56.0,eng ENG,GK,eng Premier League,29-005,1997.0,29.0,29.0,2610.0,29.0,35.0,1.21,115.0,84.0,73.0,10.0,8.0,11.0,10.0,34.5,5.0,4.0,1.0,0.0,1082,eng ENG,GK,eng Premier League,29-005,1997.0,29.0,0,0,0,,0.0,0.0,,,0,0,1353,eng ENG,GK,eng Premier League,29-005,1997.0,29,2610,90,96.7,29.0,29,90.0,29,0,,0,1.31,33,35,-2,-0.07,-0.07,1082,eng ENG,GK,eng Premier League,29-005,1997.0,29.0,3,0,0,1,5,0,0,1,0,0
Mads Hermansen,dk DEN,GK,West Ham United,eng Premier League,25.0,2000.0,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,57.0,dk DEN,GK,eng Premier League,25-249,2000.0,10.0,10.0,900.0,10.0,18.0,1.8,50.0,32.0,64.0,3.0,3.0,4.0,4.0,40.0,0.0,0.0,0.0,0.0,1089,dk DEN,GK,eng Premier League,25-249,2000.0,10.0,0,0,0,,0.0,0.0,,,0,0,1361,dk DEN,GK,eng Premier League,25-249,2000.0,10,900,90,33.3,10.0,10,90.0,10,0,,20,1.2,11,18,-7,-0.7,-0.1,1089,dk DEN,GK,eng Premier League,25-249,2000.0,10.0,0,0,0,0,1,0,0,0,0,0
John,br BRA,GK,Nottingham Forest,eng Premier League,30.0,1996.0,5,5,437,4.9,0,0,0,0,0,0,1,0,0.0,63.0,br BRA,GK,eng Premier League,30-032,1996.0,5.0,5.0,437.0,4.9,8.0,1.65,13.0,6.0,46.2,1.0,0.0,4.0,1.0,20.0,1.0,1.0,0.0,0.0,1211,br BRA,GK,eng Premier League,30-032,1996.0,4.9,0,0,0,,0.0,0.0,,,0,0,1503,br BRA,GK,eng Premier League,30-032,1996.0,5,437,87,16.2,4.9,5,87.0,4,0,,12,0.6,5,8,-3,-0.62,-0.14,1211,br BRA,GK,eng Premier League,30-032,1996.0,4.9,1,0,0,0,0,0,0,0,0,0
Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,32.0,1993.0,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,65.0,eng ENG,GK,eng Premier League,32-357,1993.0,12.0,12.0,1080.0,12.0,24.0,2.0,62.0,39.0,62.9,0.0,2.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,1216,eng ENG,GK,eng Premier League,32-357,1993.0,12.0,0,0,0,,0.0,0.0,,,0,0,1508,eng ENG,GK,eng Premier League,32-357,1993.0,12,1080,90,38.7,12.0,12,90.0,12,0,,18,0.17,6,24,-18,-1.5,-0.87,1216,eng ENG,GK,eng Premier League,32-357,1993.0,12.0,0,0,0,0,0,0,0,0,1,1
Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,23.0,2002.0,3,2,264,2.9,0,0,0,0,0,0,0,0,0.0,67.0,dk DEN,GK,eng Premier League,23-335,2002.0,3.0,2.0,264.0,2.9,4.0,1.36,10.0,6.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234,dk DEN,GK,eng Premier League,23-335,2002.0,2.9,0,0,0,,0.0,0.0,,,0,0,1532,dk DEN,GK,eng Premier League,23-335,2002.0,3,264,88,9.8,2.9,2,90.0,2,1,84.0,21,1.33,6,4,2,0.68,0.09,1234,dk DEN,GK,eng Premier League,23-335,2002.0,2.9,0,0,0,0,0,0,0,1,0,0
Caoimhín Kelleher,ie IRL,GK,Brentford,eng Premier League,27.0,1998.0,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,69.0,ie IRL,GK,eng Premier League,27-114,1998.0,29.0,29.0,2610.0,29.0,39.0,1.34,105.0,73.0,66.7,12.0,6.0,11.0,7.0,24.1,7.0,4.0,3.0,0.0,1282,ie IRL,GK,eng Premier League,27-114,1998.0,29.0,0,0,0,,0.0,0.0,,,0,0,1591,ie IRL,GK,eng Premier League,27-114,1998.0,29,2610,90,96.7,29.0,29,90.0,29,0,,0,1.45,42,39,3,0.1,-0.9,1282,ie IRL,GK,eng Premier League,27-114,1998.0,29.0,1,0,0,2,6,0,0,1,0,0
Senne Lammens,be BEL,GK,Manchester Utd,eng Premier League,23.0,2002.0,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.0,74.0,be BEL,GK,eng Premier League,23-253,2002.0,24.0,24.0,2160.0,24.0,30.0,1.25,81.0,54.0,66.7,13.0,8.0,3.0,5.0,20.8,3.0,3.0,0.0,0.0,1380,be BEL,GK,eng Premier League,23-253,2002.0,24.0,0,0,0,,0.0,0.0,,,0,0,1722,be BEL,GK,eng Premier League,23-253,2002.0,24,2160,90,80.0,24.0,24,90.0,24,0,,3,1.96,47,30,17,0.71,1.37,1380,be BEL,GK,eng Premier League,23-253,2002.0,24.0,0,0,0,0,2,0,0,0,1,0
Bernd Leno,de GER,GK,Fulham,eng Premier League,34.0,1992.0,30,30,2700,30.0,0,0,0,0,0,0,3,0,0.0,76.0,de GER,GK,eng Premier League,34-013,1992.0,30.0,30.0,2700.0,30.0,43.0,1.43,113.0,73.0,64.6,12.0,5.0,13.0,6.0,20.0,4.0,3.0,0.0,1.0,1415,de GER,GK,eng Premier League,34-013,1992.0,30.0,0,0,0,,0.0,0.0,,,0,0,1769,de GER,GK,eng Premier League,34-013,1992.0,30,2700,90,100.0,30.0,30,90.0,30,0,,0,1.37,40,43,-3,-0.1,,1415,de GER,GK,eng Premier League,34-013,1992.0,30.0,3,0,0,0,4,0,0,1,1,1
Giorgi Mamardashvili,ge GEO,GK,Liverpool,eng Premier League,25.0,2000.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,83.0,ge GEO,GK,eng Premier League,25-169,2000.0,5.0,5.0,450.0,5.0,10.0,2.0,24.0,16.0,62.5,1.0,0.0,4.0,1.0,20.0,2.0,1.0,1.0,0.0,1539,ge GEO,GK,eng Premier League,25-169,2000.0,5.0,0,0,0,,0.0,0.0,,,0,0,1923,ge GEO,GK,eng Premier League,25-169,2000.0,5,450,90,16.7,5.0,5,90.0,5,0,,25,0.6,6,10,-4,-0.8,-1.32,1539,ge GEO,GK,eng Premier League,25-169,2000.0,5.0,0,0,0,1,1,0,0,0,0,0
Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,33.0,1992.0,26,26,2295,25.5,0,0,0,0,0,0,2,0,0.0,84.0,ar ARG,GK,eng Premier League,33-196,1992.0,26.0,26.0,2295.0,25.5,29.0,1.14,103.0,75.0,71.8,13.0,5.0,8.0,7.0,26.9,1.0,0.0,1.0,0.0,1582,ar ARG,GK,eng Premier League,33-196,1992.0,25.5,0,0,0,,0.0,0.0,,,0,0,1983,ar ARG,GK,eng Premier League,33-196,1992.0,26,2295,88,85.0,25.5,26,88.0,25,0,,0,1.69,33,29,4,0.16,0.38,1582,ar ARG,GK,eng Premier League,33-196,1992.0,25.5,2,0,0,0,15,0,0,0,0,0
