Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Saves/90,SoTA/90,IsPrem,Cluster,GA90_scaled,Save%_scaled,CS%_scaled,Saves/90_scaled,SoTA/90_scaled,PCA1,PCA2
Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28.0,1997.0,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,33.0,it ITA,GK,it Serie A,28-233,1997.0,23.0,23.0,2070.0,23.0,22.0,0.96,67.0,46.0,68.7,12.0,7.0,4.0,9.0,39.1,2.0,1.0,0.0,1.0,645,it ITA,GK,it Serie A,28-233,1997.0,23.0,0,0,0,,0.0,0.0,,,0,0,811,it ITA,GK,it Serie A,28-233,1997.0,23,2070,90,79.3,23.0,23,90.0,23,0,,6,1.87,41,22,19,0.83,0.16,645,it ITA,GK,it Serie A,28-233,1997.0,23.0,1,0,0,0,5,0,0,0,0,0,2.0,2.9130434782608696,False,2,-1.1224395611650575,-0.07194163331438573,0.8298725957007008,-1.4132136714196224,-1.4657476510133993,-2.240939744098565,-1.0226230327889883
Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32.0,1993.0,22,22,1935,21.5,0,1,1,0,0,0,1,0,0.05,34.0,sn SEN,GK,fr Ligue 1,32-268,1993.0,22.0,22.0,1935.0,21.5,29.0,1.35,80.0,56.0,68.8,5.0,7.0,10.0,6.0,27.3,5.0,4.0,1.0,0.0,662,sn SEN,GK,fr Ligue 1,32-268,1993.0,21.5,0,0,0,,0.0,0.0,,,0,0,833,sn SEN,GK,fr Ligue 1,32-268,1993.0,22,1935,88,82.7,21.5,22,88.0,21,0,,1,1.0,16,29,-13,-0.6,-0.83,662,sn SEN,GK,fr Ligue 1,32-268,1993.0,21.5,1,0,0,0,4,0,0,2,0,0,2.604651162790698,3.7209302325581395,False,0,-0.08732149813745531,-0.05588323302099673,-0.027013703675240766,-0.3509940023247928,-0.4068127865395714,-0.3510434925709041,-0.3796778246201464
Stole Dimitrievski,mk MKD,GK,Valencia,es La Liga,32.0,1993.0,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,35.0,mk MKD,GK,es La Liga,32-082,1993.0,10.0,10.0,900.0,10.0,12.0,1.2,33.0,24.0,72.7,5.0,1.0,4.0,3.0,30.0,3.0,3.0,0.0,0.0,676,mk MKD,GK,es La Liga,32-082,1993.0,10.0,0,0,0,,0.0,0.0,,,0,0,849,mk MKD,GK,es La Liga,32-082,1993.0,10,900,90,35.7,10.0,10,90.0,10,0,,15,1.6,13,12,1,0.1,0.82,676,mk MKD,GK,es La Liga,32-082,1993.0,10.0,0,0,0,0,2,0,0,0,0,0,2.4,3.3,False,2,-0.48544383007114866,0.5703943784212108,0.1690535004192543,-0.7105145057107355,-0.958545682760416,-1.2531957411901362,-0.26448420160010705
Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,26.0,1999.0,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,36.0,sn SEN,GK,fr Ligue 1,26-121,1999.0,18.0,18.0,1620.0,18.0,33.0,1.83,91.0,63.0,68.1,6.0,2.0,10.0,3.0,16.7,6.0,4.0,1.0,1.0,688,sn SEN,GK,fr Ligue 1,26-121,1999.0,18.0,0,0,0,,0.0,0.0,,,0,0,862,sn SEN,GK,fr Ligue 1,26-121,1999.0,18,1620,90,69.2,18.0,18,90.0,18,0,,6,1.11,21,33,-12,-0.67,-0.17,688,sn SEN,GK,fr Ligue 1,26-121,1999.0,18.0,1,0,0,0,3,0,0,0,0,0,3.5,5.055555555555555,False,0,1.1866699640503624,-0.1682920350747266,-0.796759023453629,1.221908199988704,1.3425428973036826,2.198266246120958,0.6984318521644144
Matías Dituro,ar ARG,GK,Elche,es La Liga,38.0,1987.0,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.0,37.0,ar ARG,GK,es La Liga,38-313,1987.0,12.0,12.0,1080.0,12.0,17.0,1.42,48.0,34.0,70.8,2.0,7.0,3.0,2.0,16.7,3.0,3.0,0.0,0.0,691,ar ARG,GK,es La Liga,38-313,1987.0,12.0,0,0,0,,0.0,0.0,,,0,0,865,ar ARG,GK,es La Liga,38-313,1987.0,12,1080,90,42.9,12.0,12,90.0,12,0,,16,1.08,15,17,-2,-0.17,0.27,691,ar ARG,GK,es La Liga,38-313,1987.0,12.0,1,0,0,0,5,0,0,0,0,0,2.8333333333333335,4.0,False,0,0.09846892343160102,0.2652847728468015,-0.796759023453629,0.05074292380722592,-0.04102302108928781,0.3593322871667825,0.020705148014849586
Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,34.0,1992.0,28,28,2520,28.0,0,0,0,0,0,0,0,0,0.0,38.0,rs SRB,GK,es La Liga,34-052,1992.0,28.0,28.0,2520.0,28.0,42.0,1.5,131.0,94.0,71.8,10.0,7.0,11.0,7.0,25.0,5.0,5.0,0.0,0.0,695,rs SRB,GK,es La Liga,34-052,1992.0,28.0,0,0,0,,0.0,0.0,,,0,0,869,rs SRB,GK,es La Liga,34-052,1992.0,28,2520,90,100.0,28.0,28,90.0,28,0,,0,1.32,35,42,-7,-0.25,,695,rs SRB,GK,es La Liga,34-052,1992.0,28.0,0,0,0,0,4,0,0,0,2,0,3.357142857142857,4.678571428571429,False,0,0.31080083379623746,0.42586877578070065,-0.19403391457055147,0.9709442122355303,0.8484122121633365,0.917911774661011,1.0624984909037285
Maxime Dupé,fr FRA,GK,Nice,fr Ligue 1,33.0,1993.0,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,41.0,fr FRA,GK,fr Ligue 1,33-013,1993.0,8.0,8.0,720.0,8.0,15.0,1.87,32.0,20.0,62.5,1.0,4.0,3.0,1.0,12.5,3.0,3.0,0.0,0.0,732,fr FRA,GK,fr Ligue 1,33-013,1993.0,8.0,0,0,0,,0.0,0.0,,,0,0,916,fr FRA,GK,fr Ligue 1,33-013,1993.0,8,720,90,30.8,8.0,8,90.0,8,0,,18,0.88,11,15,-4,-0.5,0.17,732,fr FRA,GK,fr Ligue 1,33-013,1993.0,8.0,0,0,0,0,1,0,0,0,0,0,2.5,4.0,False,1,1.2928359192326806,-1.0675624515045607,-1.1017524520450659,-0.5348397142835135,-0.04102302108928781,1.332043671044208,-1.524903755241077
Aarón Escandell,es ESP,GK,Oviedo,es La Liga,30.0,1995.0,28,28,2520,28.0,0,0,0,0,0,0,2,0,0.0,43.0,es ESP,GK,es La Liga,30-171,1995.0,28.0,28.0,2520.0,28.0,44.0,1.57,158.0,120.0,74.7,4.0,9.0,15.0,7.0,25.0,6.0,4.0,2.0,0.0,788,es ESP,GK,es La Liga,30-171,1995.0,28.0,0,0,0,,0.0,0.0,,,0,0,981,es ESP,GK,es La Liga,30-171,1995.0,28,2520,90,100.0,28.0,28,90.0,28,0,,0,0.75,18,44,-26,-0.93,,788,es ESP,GK,es La Liga,30-171,1995.0,28.0,2,0,0,1,7,0,0,0,0,0,4.285714285714286,5.642857142857143,False,0,0.4965912553652944,0.891562384289009,-0.19403391457055147,2.6022101326311606,2.112346490996013,2.1094933047150657,2.765079425642219
Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30.0,1995.0,29,29,2610,29.0,0,0,0,0,0,0,2,0,0.0,44.0,it ITA,GK,it Serie A,30-339,1995.0,29.0,29.0,2610.0,29.0,39.0,1.34,114.0,81.0,69.3,7.0,6.0,16.0,8.0,27.6,6.0,4.0,2.0,0.0,815,it ITA,GK,it Serie A,30-339,1995.0,29.0,0,0,0,,0.0,0.0,,,0,0,1016,it ITA,GK,it Serie A,30-339,1995.0,29,2610,90,100.0,29.0,29,90.0,29,0,,0,0.93,21,39,-18,-0.62,,815,it ITA,GK,it Serie A,30-339,1995.0,29.0,2,0,0,0,7,0,0,0,2,0,2.793103448275862,3.9310344827586206,False,0,-0.11386298693303486,0.02440876844595283,-0.0052284587758523685,-0.019930842858897985,-0.13141934243619716,-0.1407054171533455,-0.017984490329105846
Jonathan Fischer,dk DEN,GK,Metz,fr Ligue 1,24.0,2001.0,26,25,2264,25.2,0,0,0,0,0,0,0,0,0.0,46.0,dk DEN,GK,fr Ligue 1,24-128,2001.0,26.0,25.0,2264.0,25.2,56.0,2.23,137.0,88.0,63.5,3.0,4.0,18.0,4.0,16.0,7.0,6.0,1.0,0.0,844,dk DEN,GK,fr Ligue 1,24-128,2001.0,25.2,0,0,0,,0.0,0.0,,,0,0,1059,dk DEN,GK,fr Ligue 1,24-128,2001.0,26,2264,87,96.8,25.2,25,90.0,25,1,14.0,0,0.5,25,56,-31,-1.23,3.5,844,dk DEN,GK,fr Ligue 1,24-128,2001.0,25.2,0,0,0,0,4,0,0,0,0,0,3.492063492063492,5.436507936507937,False,1,2.2483295158735435,-0.9069784485706617,-0.8475912615522018,1.2079657562246389,1.8418749580770861,3.2626714250051085,0.138744205128289
Mark Flekken,nl NED,GK,Leverkusen,de Bundesliga,32.0,1993.0,17,17,1499,16.7,0,0,0,0,0,0,2,0,0.0,47.0,nl NED,GK,de Bundesliga,32-277,1993.0,17.0,17.0,1499.0,16.7,25.0,1.5,81.0,59.0,72.8,9.0,2.0,6.0,4.0,23.5,3.0,3.0,0.0,0.0,846,nl NED,GK,de Bundesliga,32-277,1993.0,16.7,0,0,0,,0.0,0.0,,,0,0,1062,nl NED,GK,de Bundesliga,32-277,1993.0,17,1499,88,64.1,16.7,17,88.0,16,0,,0,1.71,34,25,9,0.54,-0.21,846,nl NED,GK,de Bundesliga,32-277,1993.0,16.7,2,0,0,0,3,0,0,0,0,0,3.532934131736527,4.850299401197605,False,0,0.31080083379623746,0.5864527787145998,-0.3029601390674932,1.2797651672252144,1.073504078630987,1.1489868090354627,1.4148083088459396
Joan García,es ESP,GK,Barcelona,es La Liga,24.0,2001.0,22,22,1980,22.0,0,0,0,0,0,0,1,0,0.0,48.0,es ESP,GK,es La Liga,24-317,2001.0,22.0,22.0,1980.0,22.0,17.0,0.77,74.0,59.0,79.7,19.0,1.0,2.0,11.0,50.0,2.0,2.0,0.0,0.0,911,es ESP,GK,es La Liga,24-317,2001.0,22.0,0,0,0,,0.0,0.0,,,0,0,1146,es ESP,GK,es La Liga,24-317,2001.0,22,1980,90,78.6,22.0,22,90.0,22,0,,0,2.64,64,17,47,2.14,1.8,911,es ESP,GK,es La Liga,24-317,2001.0,22.0,1,0,0,0,4,0,0,0,3,0,2.6818181818181817,3.3636363636363638,False,2,-1.6267278482810685,1.6944823989585047,1.6214031603784773,-0.21543100259765607,-0.8751345316994039,-2.6817235123229506,1.3165312859878964
Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,34.0,1992.0,25,25,2202,24.5,0,0,0,0,0,0,4,1,0.0,49.0,ar ARG,GK,es La Liga,34-074,1992.0,25.0,25.0,2202.0,24.5,35.0,1.43,118.0,87.0,73.7,8.0,9.0,8.0,5.0,20.0,5.0,4.0,0.0,1.0,924,ar ARG,GK,es La Liga,34-074,1992.0,24.5,0,0,0,,0.0,0.0,,,0,0,1163,ar ARG,GK,es La Liga,34-074,1992.0,25,2202,88,87.4,24.5,25,88.0,24,0,,2,1.32,29,35,-6,-0.25,1.45,924,ar ARG,GK,es La Liga,34-074,1992.0,24.5,4,1,0,1,5,0,0,0,0,0,3.5510204081632653,4.816326530612245,False,0,0.12501041222718057,0.73097838135511,-0.5571213295603572,1.3115381956148375,1.0289742519965757,1.1181254015471855,1.5080548048310845
David de Gea,es ESP,GK,Fiorentina,it Serie A,35.0,1990.0,29,29,2610,29.0,0,0,0,0,0,0,0,0,0.0,50.0,es ESP,GK,it Serie A,35-130,1990.0,29.0,29.0,2610.0,29.0,43.0,1.48,121.0,84.0,68.6,6.0,10.0,13.0,5.0,17.2,6.0,5.0,1.0,0.0,927,es ESP,GK,it Serie A,35-130,1990.0,29.0,0,0,0,,0.0,0.0,,,0,0,1166,es ESP,GK,it Serie A,35-130,1990.0,29,2610,90,100.0,29.0,29,90.0,29,0,,0,0.97,34,43,-9,-0.31,,927,es ESP,GK,it Serie A,35-130,1990.0,29.0,0,0,0,0,4,0,0,0,0,0,2.896551724137931,4.172413793103448,False,0,0.25771785620507837,-0.08800003360777701,-0.7604502819546485,0.16180169999684865,0.18496778227798524,0.6855043752592626,-0.08900180123417738
Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,27.0,1999.0,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,51.0,pl POL,GK,de Bundesliga,27-068,1999.0,26.0,26.0,2340.0,26.0,56.0,2.15,140.0,92.0,63.6,5.0,6.0,15.0,1.0,3.8,9.0,5.0,3.0,1.0,993,pl POL,GK,de Bundesliga,27-068,1999.0,26.0,0,1,0,0.0,0.04,0.0,0.0,,0,0,1247,pl POL,GK,de Bundesliga,27-068,1999.0,26,2340,90,100.0,26.0,26,90.0,26,0,,0,0.81,35,56,-21,-0.81,,993,pl POL,GK,de Bundesliga,27-068,1999.0,26.0,1,0,0,0,1,0,0,0,1,0,3.5384615384615383,5.384615384615385,False,1,2.035997605508907,-0.8909200482772716,-1.7335245541273276,1.2894754274607123,1.7738569690294272,3.566194956698126,0.0627594712573736
Dominik Greif,sk SVK,GK,Lyon,fr Ligue 1,28.0,1997.0,21,21,1890,21.0,0,1,1,0,0,0,1,0,0.05,52.0,sk SVK,GK,fr Ligue 1,28-345,1997.0,21.0,21.0,1890.0,21.0,24.0,1.14,74.0,53.0,68.9,11.0,4.0,6.0,9.0,42.9,3.0,1.0,2.0,0.0,1001,sk SVK,GK,fr Ligue 1,28-345,1997.0,21.0,0,0,0,,0.0,0.0,,,0,0,1259,sk SVK,GK,fr Ligue 1,28-345,1997.0,21,1890,90,80.8,21.0,21,90.0,21,0,,4,1.76,34,24,10,0.48,-0.12,1001,sk SVK,GK,fr Ligue 1,28-345,1997.0,21.0,1,0,0,0,4,0,0,0,0,0,2.5238095238095237,3.5238095238095237,False,2,-0.6446927628446261,-0.03982483272760545,1.105819031092953,-0.49301238299131805,-0.6651880970560416,-1.3889671819205833,-0.21510401282025843
Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,35.0,1990.0,22,22,1918,21.3,0,0,0,0,0,0,1,0,0.0,53.0,hu HUN,GK,de Bundesliga,35-315,1990.0,22.0,22.0,1918.0,21.3,28.0,1.31,78.0,51.0,66.7,12.0,4.0,6.0,9.0,40.9,2.0,2.0,0.0,0.0,1037,hu HUN,GK,de Bundesliga,35-315,1990.0,21.3,0,0,0,,0.0,0.0,,,0,0,1299,hu HUN,GK,de Bundesliga,35-315,1990.0,22,1918,87,82.0,21.3,22,87.0,21,0,,0,1.82,40,28,12,0.56,0.35,1037,hu HUN,GK,de Bundesliga,35-315,1990.0,21.3,1,0,0,0,0,0,0,0,0,0,2.3943661971830985,3.6619718309859155,False,2,-0.19348745331977354,-0.393109639182184,0.9605840650970306,-0.720411677058748,-0.4840923144516031,-0.9595516624341,-0.6470326762501799
Sergio Herrera,es ESP,GK,Osasuna,es La Liga,32.0,1993.0,28,28,2520,28.0,0,0,0,0,0,0,3,0,0.0,58.0,es ESP,GK,es La Liga,32-285,1993.0,28.0,28.0,2520.0,28.0,35.0,1.25,124.0,96.0,77.4,9.0,7.0,12.0,6.0,21.4,7.0,7.0,0.0,0.0,1094,es ESP,GK,es La Liga,32-285,1993.0,28.0,0,0,0,,0.0,0.0,,,0,0,1370,es ESP,GK,es La Liga,32-285,1993.0,28,2520,90,100.0,28.0,28,90.0,28,0,,0,1.21,33,35,-2,-0.07,,1094,es ESP,GK,es La Liga,32-285,1993.0,28.0,3,0,0,2,4,0,0,0,0,0,3.4285714285714284,4.428571428571429,False,0,-0.35273638609325086,1.325139192210537,-0.4554568533632117,1.0964262061121168,0.5207255472807908,0.30129166313544736,1.7072363846550052
Daniel Heuer Fernandes,pt POR,GK,Hamburger SV,de Bundesliga,33.0,1992.0,26,26,2340,26.0,0,0,0,0,0,0,3,0,0.0,59.0,pt POR,GK,de Bundesliga,33-124,1992.0,26.0,26.0,2340.0,26.0,37.0,1.42,106.0,75.0,68.9,7.0,9.0,10.0,6.0,23.1,6.0,4.0,2.0,0.0,1098,pt POR,GK,de Bundesliga,33-124,1992.0,26.0,0,1,0,0.0,0.04,0.0,0.0,,0,0,1375,pt POR,GK,de Bundesliga,33-124,1992.0,26,2340,90,100.0,26.0,26,90.0,26,0,,0,1.15,29,37,-8,-0.31,,1098,pt POR,GK,de Bundesliga,33-124,1992.0,26.0,3,0,0,0,4,0,0,0,0,0,2.8846153846153846,4.076923076923077,False,0,0.09846892343160102,-0.03982483272760545,-0.33200713226667755,0.14083256043657008,0.059803645028418194,0.306122875254923,-0.0011267896870899355
Lukáš Hrádecký,fi FIN,GK,Monaco,fr Ligue 1,36.0,1989.0,9,9,719,8.0,0,0,0,0,0,0,0,0,0.0,60.0,fi FIN,GK,fr Ligue 1,36-113,1989.0,9.0,9.0,719.0,8.0,10.0,1.25,30.0,22.0,73.3,4.0,0.0,5.0,2.0,22.2,3.0,2.0,0.0,1.0,1123,fi FIN,GK,fr Ligue 1,36-113,1989.0,8.0,0,0,0,,0.0,0.0,,,0,0,1402,fi FIN,GK,fr Ligue 1,36-113,1989.0,9,719,80,30.7,8.0,9,80.0,7,0,,0,1.33,9,10,-1,-0.13,-0.62,1123,fi FIN,GK,fr Ligue 1,36-113,1989.0,8.0,0,0,0,0,0,0,0,0,1,0,2.75,3.75,False,0,-0.35273638609325086,0.6667447801815494,-0.39736286696484274,-0.09565273571545914,-0.3687096859718335,-0.4145444714776642,0.2494869321839547
Franco Israel,uy URU,GK,Torino,it Serie A,25.0,2000.0,9,9,810,9.0,0,0,0,0,0,0,1,0,0.0,61.0,uy URU,GK,it Serie A,25-329,2000.0,9.0,9.0,810.0,9.0,18.0,2.0,40.0,24.0,60.0,2.0,2.0,5.0,3.0,33.3,2.0,2.0,0.0,0.0,1171,uy URU,GK,it Serie A,25-329,2000.0,9.0,0,0,0,,0.0,0.0,,,0,0,1455,uy URU,GK,it Serie A,25-329,2000.0,9,810,90,31.0,9.0,9,90.0,9,0,,16,0.89,9,18,-9,-1.0,-0.55,1171,uy URU,GK,it Serie A,25-329,2000.0,9.0,1,0,0,0,3,0,0,0,0,0,2.6666666666666665,4.444444444444445,False,1,1.6378752735752142,-1.4690224588393086,0.4086911943125259,-0.2420483952381442,0.5415310498130159,1.3059576374136708,-1.2035740647213826
Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,25.0,2001.0,25,25,2250,25.0,0,0,0,0,0,0,3,0,0.0,66.0,br BRA,GK,es La Liga,25-062,2001.0,25.0,25.0,2250.0,25.0,27.0,1.08,83.0,62.0,73.5,16.0,3.0,6.0,8.0,32.0,6.0,5.0,1.0,0.0,1227,br BRA,GK,es La Liga,25-062,2001.0,25.0,0,0,0,,0.0,0.0,,,0,0,1525,br BRA,GK,es La Liga,25-062,2001.0,25,2250,90,89.3,25.0,25,90.0,25,0,,3,2.04,46,27,19,0.76,1.09,1227,br BRA,GK,es La Liga,25-062,2001.0,25.0,3,0,0,2,4,0,0,1,0,0,2.48,3.32,False,2,-0.8039416956181028,0.6988615807683296,0.3142884664151766,-0.569974672568958,-0.9323307495698123,-1.4699066999636754,0.012613852354606016
Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,28.0,1997.0,26,26,2340,26.0,0,0,0,0,0,0,2,0,0.0,70.0,ch SUI,GK,de Bundesliga,28-101,1997.0,26.0,26.0,2340.0,26.0,26.0,1.0,89.0,66.0,74.2,17.0,7.0,2.0,12.0,46.2,3.0,3.0,0.0,0.0,1307,ch SUI,GK,de Bundesliga,28-101,1997.0,26.0,0,0,0,,0.0,0.0,,,0,0,1628,ch SUI,GK,de Bundesliga,28-101,1997.0,26,2340,90,100.0,26.0,26,90.0,26,0,,0,2.23,55,26,29,1.12,,1307,ch SUI,GK,de Bundesliga,28-101,1997.0,26.0,2,0,0,0,5,0,0,0,0,0,2.5384615384615383,3.423076923076923,False,2,-1.0162736059827393,0.8112703828220594,1.345456724986225,-0.4672724868115054,-0.7972230169720858,-2.011138523026753,0.4311328731866605
Hervé Koffi,bf BFA,GK,Angers,fr Ligue 1,29.0,1996.0,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,71.0,bf BFA,GK,fr Ligue 1,29-152,1996.0,23.0,23.0,2070.0,23.0,26.0,1.13,108.0,85.0,77.8,9.0,5.0,9.0,9.0,39.1,5.0,2.0,2.0,1.0,1310,bf BFA,GK,fr Ligue 1,29-152,1996.0,23.0,0,0,0,,0.0,0.0,,,0,0,1632,bf BFA,GK,fr Ligue 1,29-152,1996.0,23,2070,90,88.5,23.0,23,90.0,23,0,,0,1.39,21,26,-5,-0.22,1.12,1310,bf BFA,GK,fr Ligue 1,29-152,1996.0,23.0,1,0,0,1,9,0,0,0,1,0,3.6956521739130435,4.695652173913044,False,0,-0.6712342516402056,1.3893727933840954,0.8298725957007008,1.5656197484332683,0.8708007420621442,-0.16661032056798925,2.4650645542689182
Philipp Köhn,ch SUI,GK,Monaco,fr Ligue 1,27.0,1998.0,19,17,1621,18.0,0,0,0,0,0,0,1,0,0.0,72.0,ch SUI,GK,fr Ligue 1,27-349,1998.0,19.0,17.0,1621.0,18.0,27.0,1.5,73.0,48.0,65.8,9.0,4.0,4.0,5.0,29.4,2.0,2.0,0.0,0.0,1313,ch SUI,GK,fr Ligue 1,27-349,1998.0,18.0,0,0,0,,0.0,0.0,,,0,0,1635,ch SUI,GK,fr Ligue 1,27-349,1998.0,19,1621,85,69.3,18.0,17,90.0,17,2,46.0,7,1.79,36,27,9,0.5,0.62,1313,ch SUI,GK,fr Ligue 1,27-349,1998.0,18.0,1,0,0,0,3,0,0,1,0,0,2.6666666666666665,4.055555555555555,False,0,0.31080083379623746,-0.5376352418226941,0.12548301062047748,-0.2420483952381442,0.03179623777349986,0.1937607337872062,-0.5316417556960787
Nicola Leali,it ITA,GK,Genoa,it Serie A,33.0,1993.0,20,20,1712,19.0,0,0,0,0,0,0,2,1,0.0,75.0,it ITA,GK,it Serie A,33-028,1993.0,20.0,20.0,1712.0,19.0,26.0,1.37,79.0,55.0,69.6,4.0,8.0,8.0,4.0,20.0,2.0,2.0,0.0,0.0,1399,it ITA,GK,it Serie A,33-028,1993.0,19.0,0,0,0,,0.0,0.0,,,0,0,1746,it ITA,GK,it Serie A,33-028,1993.0,20,1712,86,65.6,19.0,20,86.0,19,0,,8,1.0,21,25,-4,-0.21,-0.21,1399,it ITA,GK,it Serie A,33-028,1993.0,19.0,2,1,0,2,2,0,0,1,0,0,2.8947368421052633,4.157894736842105,False,0,-0.03423852054629618,0.07258396932612211,-0.5571213295603572,0.15861340977130942,0.165936977783899,0.3716839630526464,0.10945237232541438
Donovan Léon,gf GUF,GK,Auxerre,fr Ligue 1,33.0,1992.0,24,24,2114,23.5,0,0,0,0,0,0,0,1,0.0,77.0,gf GUF,GK,fr Ligue 1,33-134,1992.0,24.0,24.0,2114.0,23.5,32.0,1.36,112.0,82.0,72.3,4.0,7.0,13.0,6.0,25.0,2.0,1.0,1.0,0.0,1416,gf GUF,GK,fr Ligue 1,33-134,1992.0,23.5,0,0,0,,0.0,0.0,,,0,0,1771,gf GUF,GK,fr Ligue 1,33-134,1992.0,24,2114,88,90.3,23.5,24,88.0,23,0,,0,0.79,18,32,-14,-0.6,0.6,1416,gf GUF,GK,fr Ligue 1,33-134,1992.0,23.5,0,1,0,1,6,0,0,0,2,0,3.4893617021276597,4.76595744680851,False,0,-0.060780009341875746,0.5061607772476502,-0.19403391457055147,1.2032193923900638,0.9629531436572348,0.834586454704073,1.3816985359478002
Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,35.0,1990.0,24,24,2158,24.0,0,0,0,0,0,0,3,0,0.0,78.0,pt POR,GK,fr Ligue 1,35-167,1990.0,24.0,24.0,2158.0,24.0,40.0,1.67,112.0,75.0,67.0,4.0,4.0,16.0,4.0,16.7,3.0,3.0,0.0,0.0,1453,pt POR,GK,fr Ligue 1,35-167,1990.0,24.0,0,1,0,0.0,0.04,0.0,0.0,,0,0,1820,pt POR,GK,fr Ligue 1,35-167,1990.0,24,2158,90,95.9,24.0,24,90.0,23,0,,0,0.67,21,41,-20,-0.83,-0.83,1453,pt POR,GK,fr Ligue 1,35-167,1990.0,24.0,3,0,0,0,13,0,0,1,1,0,3.125,4.666666666666667,False,0,0.7620061433210894,-0.3449344383020147,-0.796759023453629,0.5631277321366225,0.8328080852641677,1.5249650938666302,0.09837749840336572
Pau López,es ESP,GK,Real Betis,es La Liga,31.0,1994.0,8,8,720,8.0,0,0,0,0,0,0,1,0,0.0,79.0,es ESP,GK,es La Liga,31-094,1994.0,8.0,8.0,720.0,8.0,9.0,1.13,33.0,25.0,72.7,4.0,2.0,2.0,2.0,25.0,1.0,0.0,1.0,0.0,1464,es ESP,GK,es La Liga,31-094,1994.0,8.0,0,0,0,,0.0,0.0,,,0,0,1833,es ESP,GK,es La Liga,31-094,1994.0,8,720,90,28.6,8.0,8,90.0,8,0,,14,1.75,12,9,3,0.37,0.13,1464,es ESP,GK,es La Liga,31-094,1994.0,8.0,1,0,0,0,2,0,0,0,0,0,3.125,4.125,False,0,-0.6712342516402056,0.5703943784212108,-0.19403391457055147,0.5631277321366225,0.12282031135198503,-0.1721217242129805,0.873659632779113
Mike Maignan,fr FRA,GK,Milan,it Serie A,30.0,1995.0,28,28,2485,27.6,0,0,0,0,0,0,3,0,0.0,80.0,fr FRA,GK,it Serie A,30-257,1995.0,28.0,28.0,2485.0,27.6,21.0,0.76,89.0,74.0,80.9,16.0,9.0,3.0,12.0,42.9,7.0,4.0,2.0,1.0,1516,fr FRA,GK,it Serie A,30-257,1995.0,27.6,0,0,0,,0.0,0.0,,,0,0,1898,fr FRA,GK,it Serie A,30-257,1995.0,28,2485,89,95.2,27.6,28,89.0,27,0,,0,2.04,40,21,19,0.69,-2.19,1516,fr FRA,GK,it Serie A,30-257,1995.0,27.6,3,0,0,0,6,0,0,1,0,0,2.681159420289855,3.22463768115942,False,2,-1.653269337076648,1.8871832024791841,1.105819031092953,-0.21658828053854673,-1.0573265904351545,-2.5961112458453366,1.2881375897523104
