Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Saves/90,SoTA/90,IsPrem,Cluster,GA90_scaled,Save%_scaled,CS%_scaled,Saves/90_scaled,SoTA/90_scaled,PCA1,PCA2
Janis Blaswich,de GER,GK,Leverkusen,de Bundesliga,34.0,1991.0,10,9,841,9.3,0,0,0,0,0,0,0,0,0.0,17.0,de GER,GK,de Bundesliga,34-319,1991.0,10.0,9.0,841.0,9.3,8.0,0.86,41.0,33.0,80.5,4.0,4.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,310,de GER,GK,de Bundesliga,34-319,1991.0,9.3,0,0,0,,0.0,0.0,,,0,0,392,de GER,GK,de Bundesliga,34-319,1991.0,10,841,84,35.9,9.3,9,90.0,9,1,31.0,14,1.6,15,8,7,0.75,0.21,310,de GER,GK,de Bundesliga,34-319,1991.0,9.3,0,0,0,0,0,0,0,0,0,0,3.548387096774193,4.408602150537634,False,0,-1.3878544491208529,1.8229496013056234,0.4086911943125259,1.3069121313244556,0.4945508828047649,-0.7604646665803448,2.540742854132977
Jean Butez,fr FRA,GK,Como,it Serie A,30.0,1995.0,29,29,2610,29.0,0,0,0,0,0,0,3,0,0.0,19.0,fr FRA,GK,it Serie A,30-282,1995.0,29.0,29.0,2610.0,29.0,22.0,0.76,89.0,71.0,79.8,15.0,9.0,5.0,13.0,44.8,5.0,4.0,1.0,0.0,396,fr FRA,GK,it Serie A,30-282,1995.0,29.0,0,0,0,,0.0,0.0,,,0,0,497,fr FRA,GK,it Serie A,30-282,1995.0,29,2610,90,100.0,29.0,29,90.0,29,0,,0,1.86,48,22,26,0.9,,396,fr FRA,GK,it Serie A,30-282,1995.0,29.0,3,0,0,0,8,0,0,0,1,0,2.4482758620689653,3.0689655172413794,False,2,-1.653269337076648,1.7105407992518937,1.2437922487890791,-0.6257059857113872,-1.2613733592725611,-2.861228886029537,0.8769545756383793
Elia Caprile,it ITA,GK,Cagliari,it Serie A,24.0,2001.0,29,29,2610,29.0,0,0,0,0,0,0,2,0,0.0,20.0,it ITA,GK,it Serie A,24-204,2001.0,29.0,29.0,2610.0,29.0,41.0,1.41,137.0,97.0,71.5,7.0,9.0,13.0,6.0,20.7,2.0,2.0,0.0,0.0,440,it ITA,GK,it Serie A,24-204,2001.0,29.0,0,0,0,,0.0,0.0,,,0,0,548,it ITA,GK,it Serie A,24-204,2001.0,29,2610,90,100.0,29.0,29,90.0,29,0,,0,1.03,31,41,-10,-0.34,,440,it ITA,GK,it Serie A,24-204,2001.0,29.0,2,0,0,0,8,0,0,0,0,0,3.3448275862068964,4.724137931034483,False,0,0.07192743463602146,0.37769357490053135,-0.5062890914617845,0.9493093857050837,0.9081383530532587,0.9769555852601597,1.0374257922725523
Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,25.0,2000.0,29,29,2610,29.0,0,0,0,0,0,0,0,0,0.0,22.0,it ITA,GK,it Serie A,25-259,2000.0,29.0,29.0,2610.0,29.0,27.0,0.93,110.0,85.0,76.4,12.0,11.0,6.0,10.0,34.5,3.0,1.0,2.0,0.0,455,it ITA,GK,it Serie A,25-259,2000.0,29.0,0,0,0,,0.0,0.0,,,0,0,569,it ITA,GK,it Serie A,25-259,2000.0,29,2610,90,100.0,29.0,29,90.0,29,0,,0,1.62,40,27,13,0.45,,455,it ITA,GK,it Serie A,25-259,2000.0,29.0,0,0,0,1,5,0,1,0,0,0,2.9310344827586206,3.793103448275862,False,2,-1.202064027551796,1.164555189276638,0.49583217391007944,0.22237921428209725,-0.31221198513001525,-1.3093865942142588,1.1408028537795267
Lucas Chevalier,fr FRA,GK,Paris Saint-Germain,fr Ligue 1,24.0,2001.0,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,23.0,fr FRA,GK,fr Ligue 1,24-131,2001.0,17.0,17.0,1530.0,17.0,13.0,0.76,43.0,32.0,72.1,12.0,3.0,2.0,9.0,52.9,3.0,1.0,1.0,1.0,506,fr FRA,GK,fr Ligue 1,24-131,2001.0,17.0,0,0,0,,0.0,0.0,,,0,0,639,fr FRA,GK,fr Ligue 1,24-131,2001.0,17,1530,90,68.0,17.0,17,90.0,17,0,,7,2.29,33,13,20,1.18,-0.32,506,fr FRA,GK,fr Ligue 1,24-131,2001.0,17.0,0,0,0,0,1,0,0,0,0,0,1.8823529411764706,2.5294117647058822,False,2,-1.653269337076648,0.47404397666086995,1.8319938610725646,-1.6198898966281186,-1.968591638045439,-3.5030193429672973,-0.672179571363375
Edoardo Corvi,it ITA,GK,Parma,it Serie A,24.0,2001.0,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,24.0,it ITA,GK,it Serie A,24-359,2001.0,16.0,16.0,1440.0,16.0,18.0,1.13,59.0,43.0,74.6,7.0,4.0,5.0,6.0,37.5,3.0,3.0,0.0,0.0,552,it ITA,GK,it Serie A,24-359,2001.0,16.0,0,0,0,,0.0,0.0,,,0,0,699,it ITA,GK,it Serie A,24-359,2001.0,16,1440,90,55.2,16.0,16,90.0,16,0,,13,1.56,13,18,-5,-0.31,0.46,552,it ITA,GK,it Serie A,24-359,2001.0,16.0,1,0,0,0,5,0,0,0,0,0,2.6875,3.6875,False,2,-0.6712342516402056,0.8755039839956178,0.713684622903963,-0.20544948035747274,-0.4506313521924699,-1.2663954237119144,0.5621221388534552
Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26.0,1999.0,17,16,1472,16.4,0,0,0,0,0,0,0,0,0.0,25.0,fr FRA,GK,fr Ligue 1,26-348,1999.0,17.0,16.0,1472.0,16.4,21.0,1.28,69.0,50.0,71.0,9.0,2.0,5.0,6.0,37.5,2.0,1.0,1.0,0.0,557,fr FRA,GK,fr Ligue 1,26-348,1999.0,16.4,0,0,0,,0.0,0.0,,,0,0,706,fr FRA,GK,fr Ligue 1,26-348,1999.0,17,1472,87,62.9,16.4,16,90.0,16,1,32.0,9,1.71,25,21,4,0.24,0.87,557,fr FRA,GK,fr Ligue 1,26-348,1999.0,16.4,0,0,0,0,6,0,0,0,0,0,3.048780487804878,4.207317073170732,False,0,-0.2731119197065122,0.2974015734335818,0.713684622903963,0.4292292630609962,0.23071714003282406,-0.3093509091757094,0.727544545122692
Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33.0,1992.0,28,28,2520,28.0,0,0,0,0,0,0,1,0,0.0,26.0,be BEL,GK,es La Liga,33-310,1992.0,28.0,28.0,2520.0,28.0,24.0,0.86,78.0,58.0,74.4,21.0,3.0,4.0,11.0,39.3,4.0,4.0,0.0,0.0,567,be BEL,GK,es La Liga,33-310,1992.0,28.0,0,0,0,,0.0,0.0,,,0,0,717,be BEL,GK,es La Liga,33-310,1992.0,28,2520,90,100.0,28.0,28,90.0,28,0,,0,2.36,60,24,36,1.29,,567,be BEL,GK,es La Liga,33-310,1992.0,28.0,1,0,0,1,2,0,0,0,1,0,2.0714285714285716,2.7857142857142856,False,2,-1.3878544491208529,0.8433871834088398,0.8443960923002928,-1.287731677543035,-1.63264396480451,-2.6978892537336168,-0.3514628792553879
Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27.0,1998.0,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,28.0,de GER,GK,de Bundesliga,27-355,1998.0,26.0,26.0,2340.0,26.0,45.0,1.73,109.0,71.0,64.2,9.0,4.0,13.0,5.0,19.2,7.0,6.0,1.0,0.0,588,de GER,GK,de Bundesliga,27-355,1998.0,26.0,0,1,0,0.0,0.04,0.0,0.0,,0,0,744,de GER,GK,de Bundesliga,27-355,1998.0,26,2340,90,100.0,26.0,26,90.0,26,0,,0,1.19,31,45,-14,-0.54,,588,de GER,GK,de Bundesliga,27-355,1998.0,26.0,1,0,0,0,4,0,0,0,0,0,2.730769230769231,4.1923076923076925,False,1,0.9212550760945667,-0.7945696465169318,-0.6152153159587261,-0.1294363494514632,0.21104364420497837,1.089085379502538,-0.8387262584426834
Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29.0,1996.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,32.0,fr FRA,GK,fr Ligue 1,29-265,1996.0,5.0,5.0,450.0,5.0,3.0,0.6,17.0,14.0,82.4,3.0,1.0,1.0,4.0,80.0,0.0,0.0,0.0,0.0,640,fr FRA,GK,fr Ligue 1,29-265,1996.0,5.0,0,0,0,,0.0,0.0,,,0,0,805,fr FRA,GK,fr Ligue 1,29-265,1996.0,5,450,90,19.2,5.0,5,90.0,5,0,,16,2.0,6,3,3,0.6,0.12,640,fr FRA,GK,fr Ligue 1,29-265,1996.0,5.0,0,0,0,0,0,0,0,0,0,1,2.8,3.4,False,2,-2.0779331578059206,2.1280592068800326,3.799927650317312,-0.007815340001848574,-0.8274710168073975,-4.0088376774833225,2.237729566628469
