Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27.0,1998.0,24,18,1628,18.1,0,1,1,0,0,0,3,0,0.06,57,no NOR,DF,eng Premier League,27-334,1998.0,18.1,0,10,3,30.0,0.55,0.17,0.0,0.0,0,0,69,no NOR,DF,eng Premier League,27-334,1998.0,24,1628,68,60.3,18.1,18,83.0,12,6,22.0,5,1.38,27,27,0,0.0,-0.34,57,no NOR,DF,eng Premier League,27-334,1998.0,18.1,3,0,0,22,5,0,7,12,21,0
Nathan Aké,nl NED,DF,Manchester City,eng Premier League,31.0,1995.0,14,4,495,5.5,0,0,0,0,0,0,1,0,0.0,60,nl NED,DF,eng Premier League,31-027,1995.0,5.5,0,4,0,0.0,0.73,0.0,0.0,,0,0,76,nl NED,DF,eng Premier League,31-027,1995.0,14,495,35,18.3,5.5,4,86.0,3,10,15.0,14,2.0,5,7,-2,-0.36,-1.75,60,nl NED,DF,eng Premier League,31-027,1995.0,5.5,1,0,0,2,6,1,4,4,6,0
Carlos Alcaraz,ar ARG,MF,Everton,eng Premier League,23.0,2002.0,16,6,675,7.5,0,1,1,0,0,0,3,0,0.13,71,ar ARG,MF,eng Premier League,23-107,2002.0,7.5,0,18,5,27.8,2.4,0.67,0.0,0.0,0,0,90,ar ARG,MF,eng Premier League,23-107,2002.0,16,675,42,25.0,7.5,6,75.0,0,10,23.0,6,1.31,7,8,-1,-0.13,-0.13,71,ar ARG,MF,eng Premier League,23-107,2002.0,7.5,3,0,0,8,11,1,5,2,8,0
Omar Alderete,py PAR,DF,Sunderland,eng Premier League,29.0,1996.0,26,25,2264,25.2,1,1,2,1,0,0,5,0,0.08,72,py PAR,DF,eng Premier League,29-081,1996.0,25.2,1,19,8,42.1,0.76,0.32,0.05,0.13,0,0,91,py PAR,DF,eng Premier League,29-081,1996.0,26,2264,87,83.9,25.2,25,89.0,22,1,38.0,1,1.35,25,30,-5,-0.2,-0.2,72,py PAR,DF,eng Premier League,29-081,1996.0,25.2,5,0,0,23,7,4,9,26,15,0
Max Alleyne,eng ENG,DF,Manchester City,eng Premier League,20.0,2005.0,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,81,eng ENG,DF,eng Premier League,20-239,2005.0,1.5,0,2,1,50.0,1.33,0.67,0.0,0.0,0,0,106,eng ENG,DF,eng Premier League,20-239,2005.0,2,135,68,5.0,1.5,2,68.0,1,0,,4,0.5,1,1,0,0.0,-1.12,81,eng ENG,DF,eng Premier League,20-239,2005.0,1.5,0,0,0,0,0,0,0,3,3,0
Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25.0,2000.0,27,27,2399,26.7,1,1,2,1,0,0,7,0,0.08,104,wls WAL,MF,eng Premier League,25-184,2000.0,26.7,1,19,4,21.1,0.71,0.15,0.05,0.25,0,0,134,wls WAL,MF,eng Premier League,25-184,2000.0,27,2399,89,88.9,26.7,27,89.0,23,0,,0,1.11,33,41,-8,-0.3,0.6,104,wls WAL,MF,eng Premier League,25-184,2000.0,26.7,7,0,0,34,27,0,23,38,37,0
Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29.0,1996.0,27,27,2381,26.5,0,1,1,0,0,0,7,0,0.04,106,dk DEN,DF,eng Premier League,29-290,1996.0,26.5,0,12,3,25.0,0.45,0.11,0.0,0.0,0,0,136,dk DEN,DF,eng Premier League,29-290,1996.0,27,2381,88,88.2,26.5,27,88.0,26,0,,1,1.41,37,38,-1,-0.04,0.53,106,dk DEN,DF,eng Premier League,29-290,1996.0,26.5,7,0,0,27,10,0,13,26,19,0
Elliot Anderson,eng ENG,MF,Nottingham Forest,eng Premier League,23.0,2002.0,30,30,2683,29.8,2,2,4,1,1,1,6,0,0.1,107,eng ENG,MF,eng Premier League,23-131,2002.0,29.8,2,36,8,22.2,1.21,0.27,0.03,0.13,1,1,137,eng ENG,MF,eng Premier League,23-131,2002.0,30,2683,89,99.4,29.8,30,89.0,28,0,,0,0.97,28,42,-14,-0.47,4.82,107,eng ENG,MF,eng Premier League,23-131,2002.0,29.8,6,0,0,44,66,2,155,35,51,0
André,br BRA,MF,Wolves,eng Premier League,24.0,2001.0,28,23,2132,23.7,1,0,1,1,0,0,9,0,0.04,110,br BRA,MF,eng Premier League,24-244,2001.0,23.7,1,11,1,9.1,0.46,0.04,0.09,1.0,0,0,140,br BRA,MF,eng Premier League,24-244,2001.0,28,2132,76,76.4,23.7,23,85.0,17,5,34.0,0,0.54,16,39,-23,-0.97,-0.01,110,br BRA,MF,eng Premier League,24-244,2001.0,23.7,9,0,0,33,37,0,38,21,30,0
Nilson Angulo,ec ECU,MF,Sunderland,eng Premier League,22.0,2003.0,5,3,256,2.8,0,0,0,0,0,0,0,0,0.0,118,ec ECU,MF,eng Premier League,22-271,2003.0,2.8,0,3,2,66.7,1.05,0.7,0.0,0.0,0,0,151,ec ECU,MF,eng Premier League,22-271,2003.0,5,256,51,9.5,2.8,3,78.0,0,2,11.0,0,0.8,1,4,-3,-1.05,-0.98,118,ec ECU,MF,eng Premier League,22-271,2003.0,2.8,0,0,0,7,2,1,7,2,5,0
Jaidon Anthony,eng ENG,MF,Burnley,eng Premier League,26.0,1999.0,29,24,2024,22.5,7,1,8,7,0,0,4,0,0.36,124,eng ENG,MF,eng Premier League,26-106,1999.0,22.5,7,43,17,39.5,1.91,0.76,0.16,0.41,0,0,158,eng ENG,MF,eng Premier League,26-106,1999.0,29,2024,70,75.0,22.5,24,81.0,9,5,17.0,1,0.69,24,43,-19,-0.84,0.09,124,eng ENG,MF,eng Premier League,26-106,1999.0,22.5,4,0,0,19,38,7,55,14,16,0
Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,19.0,2007.0,11,6,499,5.5,0,0,0,0,0,0,0,0,0.0,144,eng ENG,MF,eng Premier League,19-057,2007.0,5.5,0,5,2,40.0,0.9,0.36,0.0,0.0,0,0,180,eng ENG,MF,eng Premier League,19-057,2007.0,11,499,45,18.5,5.5,6,73.0,1,5,12.0,3,1.36,4,10,-6,-1.08,-1.29,144,eng ENG,MF,eng Premier League,19-057,2007.0,5.5,0,0,0,6,15,2,2,4,10,0
Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,25.0,2000.0,27,12,1244,13.8,3,1,4,3,0,1,1,0,0.29,146,ng NGA,FW,eng Premier League,25-114,2000.0,13.8,3,38,13,34.2,2.75,0.94,0.08,0.23,0,1,183,ng NGA,FW,eng Premier League,25-114,2000.0,27,1244,46,44.6,13.8,12,81.0,7,15,18.0,1,0.63,15,25,-10,-0.72,0.44,146,ng NGA,FW,eng Premier League,25-114,2000.0,13.8,1,0,0,17,13,6,0,5,3,0
Taiwo Awoniyi,ng NGA,FW,Nottingham Forest,eng Premier League,28.0,1997.0,11,1,258,2.9,1,0,1,1,0,0,0,0,0.35,172,ng NGA,FW,eng Premier League,28-217,1997.0,2.9,1,9,4,44.4,3.14,1.4,0.11,0.25,0,0,212,ng NGA,FW,eng Premier League,28-217,1997.0,11,258,23,9.6,2.9,1,45.0,0,10,21.0,7,0.82,3,2,1,0.35,0.94,172,ng NGA,FW,eng Premier League,28-217,1997.0,2.9,0,0,0,6,3,3,1,1,1,0
Yasin Ayari,se SWE,MF,Brighton,eng Premier League,22.0,2003.0,23,18,1718,19.1,3,2,5,3,0,0,1,0,0.26,173,se SWE,MF,eng Premier League,22-162,2003.0,19.1,3,39,10,25.6,2.04,0.52,0.08,0.3,0,0,213,se SWE,MF,eng Premier League,22-162,2003.0,23,1718,75,63.6,19.1,18,86.0,14,5,32.0,1,1.39,27,21,6,0.31,0.59,173,se SWE,MF,eng Premier League,22-162,2003.0,19.1,1,0,0,20,24,0,23,24,23,0
Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24.0,2001.0,8,6,471,5.2,0,0,0,0,0,0,2,0,0.0,179,fr FRA,DF,eng Premier League,24-356,2001.0,5.2,0,0,0,,0.0,0.0,,,0,0,224,fr FRA,DF,eng Premier League,24-356,2001.0,8,471,59,17.4,5.2,6,69.0,3,2,29.0,11,1.63,7,10,-3,-0.57,-1.42,179,fr FRA,DF,eng Premier League,24-356,2001.0,5.2,2,0,0,6,2,0,0,9,5,0
Leon Bailey,jm JAM,MF,Aston Villa,eng Premier League,28.0,1997.0,8,2,316,3.5,0,1,1,0,0,0,1,0,0.28,182,jm JAM,MF,eng Premier League,28-220,1997.0,3.5,0,6,1,16.7,1.71,0.28,0.0,0.0,0,0,229,jm JAM,MF,eng Premier League,28-220,1997.0,8,316,40,11.7,3.5,2,61.0,0,6,32.0,0,1.0,4,8,-4,-1.14,-1.4,182,jm JAM,MF,eng Premier League,28-220,1997.0,3.5,1,0,0,5,3,1,15,1,4,0
Dilane Bakwa,fr FRA,MF,Nottingham Forest,eng Premier League,23.0,2002.0,10,3,345,3.8,0,1,1,0,0,0,1,0,0.26,192,fr FRA,MF,eng Premier League,23-203,2002.0,3.8,0,8,3,37.5,2.09,0.78,0.0,0.0,0,0,242,fr FRA,MF,eng Premier League,23-203,2002.0,10,345,35,12.8,3.8,3,66.0,0,7,21.0,4,0.4,4,8,-4,-1.04,-0.62,192,fr FRA,MF,eng Premier League,23-203,2002.0,3.8,1,0,0,9,8,0,28,0,2,0
Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,22.0,2004.0,24,19,1264,14.0,0,0,0,0,0,0,5,0,0.0,197,cm CMR,MF,eng Premier League,22-073,2004.0,14.0,0,15,1,6.7,1.07,0.07,0.0,0.0,0,0,250,cm CMR,MF,eng Premier League,22-073,2004.0,24,1264,53,46.8,14.0,19,63.0,2,5,12.0,0,1.29,13,18,-5,-0.36,-0.86,197,cm CMR,MF,eng Premier League,22-073,2004.0,14.0,5,0,0,26,16,0,0,24,15,0
