Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Oscar Bobb,no NOR,MF,Fulham,eng Premier League,22.0,2003.0,6,2,236,2.6,0,0,0,0,0,0,0,0,0.0,314,no NOR,MF,eng Premier League,22-248,2003.0,2.6,0,2,0,0.0,0.76,0.0,0.0,,0,0,398,no NOR,MF,eng Premier League,22-248,2003.0,6,236,39,8.7,2.6,2,66.0,0,4,26.0,0,1.17,5,3,2,0.76,0.95,314,no NOR,MF,eng Premier League,22-248,2003.0,2.6,0,0,0,3,1,0,3,4,2,0
Sebastiaan Bornauw,be BEL,DF,Leeds United,eng Premier League,26.0,1999.0,9,4,304,3.4,0,0,0,0,0,0,1,0,0.0,335,be BEL,DF,eng Premier League,26-360,1999.0,3.4,0,0,0,,0.0,0.0,,,0,0,425,be BEL,DF,eng Premier League,26-360,1999.0,9,304,34,11.3,3.4,4,75.0,0,5,1.0,13,1.56,3,4,-1,-0.3,0.08,335,be BEL,DF,eng Premier League,26-360,1999.0,3.4,1,0,0,5,0,0,1,5,2,0
Olivier Boscagli,fr FRA,DF,Brighton,eng Premier League,28.0,1997.0,8,5,442,4.9,0,1,1,0,0,0,2,0,0.2,337,fr FRA,DF,eng Premier League,28-119,1997.0,4.9,0,1,0,0.0,0.2,0.0,0.0,,0,0,427,fr FRA,DF,eng Premier League,28-119,1997.0,8,442,55,16.4,4.9,5,80.0,3,3,13.0,22,0.75,3,5,-2,-0.41,-0.61,337,fr FRA,DF,eng Premier League,28-119,1997.0,4.9,2,0,0,7,5,0,11,7,5,0
Sven Botman,nl NED,DF,Newcastle United,eng Premier League,26.0,2000.0,17,13,1152,12.8,1,1,2,1,0,0,1,0,0.16,339,nl NED,DF,eng Premier League,26-064,2000.0,12.8,1,8,4,50.0,0.62,0.31,0.13,0.25,0,0,430,nl NED,DF,eng Premier League,26-064,2000.0,17,1152,68,42.7,12.8,13,84.0,10,4,15.0,5,1.59,15,17,-2,-0.16,-0.27,339,nl NED,DF,eng Premier League,26-064,2000.0,12.8,1,0,0,8,8,0,2,8,9,1
Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,22.0,2003.0,15,12,929,10.3,0,1,1,0,0,0,5,0,0.1,353,nir NIR,DF,eng Premier League,22-251,2003.0,10.3,0,6,0,0.0,0.58,0.0,0.0,,0,0,448,nir NIR,DF,eng Premier League,22-251,2003.0,15,929,62,34.4,10.3,12,70.0,3,3,29.0,1,1.47,11,13,-2,-0.19,-0.75,353,nir NIR,DF,eng Premier League,22-251,2003.0,10.3,5,0,0,18,20,1,23,12,15,0
Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,23.0,2002.0,7,5,491,5.5,1,0,1,1,0,0,1,0,0.18,356,eng ENG,DF,eng Premier League,23-263,2002.0,5.5,1,5,2,40.0,0.92,0.37,0.2,0.5,0,0,451,eng ENG,DF,eng Premier League,23-263,2002.0,7,491,70,18.2,5.5,5,88.0,3,2,26.0,0,1.57,7,6,1,0.18,0.26,356,eng ENG,DF,eng Premier League,23-263,2002.0,5.5,1,0,0,3,1,0,3,8,5,0
Brian Brobbey,nl NED,FW,Sunderland,eng Premier League,24.0,2002.0,23,14,1279,14.2,5,1,6,5,0,0,3,0,0.42,365,nl NED,FW,eng Premier League,24-044,2002.0,14.2,5,21,10,47.6,1.48,0.7,0.24,0.5,0,0,464,nl NED,FW,eng Premier League,24-044,2002.0,23,1279,56,47.4,14.2,14,77.0,4,9,22.0,2,1.13,12,18,-6,-0.42,-0.49,365,nl NED,FW,eng Premier League,24-044,2002.0,14.2,3,0,0,16,25,8,1,0,1,0
Armando Broja,al ALB,FW,Burnley,eng Premier League,24.0,2001.0,20,8,819,9.1,1,1,2,1,0,0,0,0,0.22,367,al ALB,FW,eng Premier League,24-188,2001.0,9.1,1,16,6,37.5,1.76,0.66,0.06,0.17,0,0,467,al ALB,FW,eng Premier League,24-188,2001.0,20,819,41,30.3,9.1,8,79.0,2,12,16.0,3,0.3,11,25,-14,-1.54,-0.96,367,al ALB,FW,eng Premier League,24-188,2001.0,9.1,0,0,0,12,14,5,2,3,3,0
David Brooks,wls WAL,MF,Bournemouth,eng Premier League,28.0,1997.0,24,12,1033,11.5,1,2,3,1,0,0,7,0,0.26,368,wls WAL,MF,eng Premier League,28-252,1997.0,11.5,1,42,12,28.6,3.66,1.05,0.02,0.08,0,0,468,wls WAL,MF,eng Premier League,28-252,1997.0,24,1033,43,38.3,11.5,12,67.0,0,12,19.0,1,1.33,16,18,-2,-0.17,-0.17,368,wls WAL,MF,eng Premier League,28-252,1997.0,11.5,7,0,0,11,12,2,52,3,9,0
Emi Buendía,ar ARG,MF,Aston Villa,eng Premier League,29.0,1996.0,28,18,1437,16.0,5,2,7,5,0,0,6,0,0.44,375,ar ARG,MF,eng Premier League,29-082,1996.0,16.0,5,40,9,22.5,2.51,0.56,0.13,0.56,0,0,475,ar ARG,MF,eng Premier League,29-082,1996.0,28,1437,51,53.2,16.0,18,65.0,2,10,26.0,1,1.79,14,19,-5,-0.31,-0.88,375,ar ARG,MF,eng Premier League,29-082,1996.0,16.0,6,0,0,34,32,1,7,8,19,0
Santiago Bueno,uy URU,DF,Wolves,eng Premier League,27.0,1998.0,22,21,1923,21.4,2,1,3,2,0,0,4,0,0.14,378,uy URU,DF,eng Premier League,27-128,1998.0,21.4,2,6,5,83.3,0.28,0.23,0.33,0.4,0,0,478,uy URU,DF,eng Premier League,27-128,1998.0,22,1923,87,68.9,21.4,21,90.0,20,1,35.0,8,0.73,20,33,-13,-0.61,1.16,378,uy URU,DF,eng Premier League,27-128,1998.0,21.4,4,0,0,21,9,1,5,20,22,0
Facundo Buonanotte,ar ARG,MF,Leeds United,eng Premier League,21.0,2004.0,2,0,26,0.3,0,0,0,0,0,0,1,0,0.0,383,ar ARG,MF,eng Premier League,21-084,2004.0,0.3,0,1,0,0.0,3.46,0.0,0.0,,0,0,484,ar ARG,MF,eng Premier League,21-084,2004.0,2,26,13,1.0,0.3,0,,0,2,13.0,2,0.5,0,1,-1,-3.46,-3.12,383,ar ARG,MF,eng Premier League,21-084,2004.0,0.3,1,0,0,1,0,0,0,1,0,0
Facundo Buonanotte,ar ARG,MF,Chelsea,eng Premier League,21.0,2004.0,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,384,ar ARG,MF,eng Premier League,21-084,2004.0,0.5,0,0,0,,0.0,0.0,,,0,0,485,ar ARG,MF,eng Premier League,21-084,2004.0,1,45,45,1.7,0.5,1,45.0,0,0,,4,1.0,0,1,-1,-2.0,-2.64,384,ar ARG,MF,eng Premier League,21-084,2004.0,0.5,0,0,0,0,0,0,0,0,0,0
Dan Burn,eng ENG,DF,Newcastle United,eng Premier League,33.0,1992.0,22,20,1723,19.1,0,2,2,0,0,0,9,1,0.1,392,eng ENG,DF,eng Premier League,33-312,1992.0,19.1,0,4,0,0.0,0.21,0.0,0.0,,0,0,493,eng ENG,DF,eng Premier League,33-312,1992.0,22,1723,78,63.8,19.1,20,85.0,17,2,9.0,1,1.27,27,26,1,0.05,0.14,392,eng ENG,DF,eng Premier League,33-312,1992.0,19.1,9,1,1,33,9,1,11,16,21,0
Bradley Burrowes,eng ENG,MF,Aston Villa,eng Premier League,18.0,2008.0,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,393,eng ENG,MF,eng Premier League,18-013,2008.0,0.2,0,0,0,,0.0,0.0,,,0,0,494,eng ENG,MF,eng Premier League,18-013,2008.0,1,17,17,0.6,0.2,0,,0,1,17.0,2,0.0,0,1,-1,-5.29,-5.43,393,eng ENG,MF,eng Premier League,18-013,2008.0,0.2,0,0,0,0,1,0,3,0,0,0
Jun'ai Byfield,eng ENG,DF,Tottenham Hotspur,eng Premier League,17.0,2008.0,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,397,eng ENG,DF,eng Premier League,17-101,2008.0,0.0,0,0,0,,0.0,0.0,,,0,0,498,eng ENG,DF,eng Premier League,17-101,2008.0,1,1,1,0.0,0.0,0,,0,1,1.0,5,1.0,0,0,0,0.0,0.23,397,eng ENG,DF,eng Premier League,17-101,2008.0,0.0,0,0,0,0,0,0,0,0,0,0
Moisés Caicedo,ec ECU,MF,Chelsea,eng Premier League,24.0,2001.0,25,24,2104,23.4,3,1,4,3,0,0,9,1,0.17,407,ec ECU,MF,eng Premier League,24-135,2001.0,23.4,3,20,7,35.0,0.86,0.3,0.15,0.43,0,0,509,ec ECU,MF,eng Premier League,24-135,2001.0,25,2104,84,77.9,23.4,24,86.0,21,1,45.0,1,1.6,46,29,17,0.73,0.58,407,ec ECU,MF,eng Premier League,24-135,2001.0,23.4,9,1,0,40,38,0,8,51,43,0
Tom Cairney,sct SCO,MF,Fulham,eng Premier League,35.0,1991.0,20,4,562,6.2,1,0,1,1,0,0,3,0,0.16,408,sct SCO,MF,eng Premier League,35-056,1991.0,6.2,1,12,1,8.3,1.92,0.16,0.08,1.0,0,0,510,sct SCO,MF,eng Premier League,35-056,1991.0,20,562,28,20.8,6.2,4,67.0,0,16,18.0,8,1.55,12,9,3,0.48,0.73,408,sct SCO,MF,eng Premier League,35-056,1991.0,6.2,3,0,0,8,9,0,6,2,3,0
Riccardo Calafiori,it ITA,DF,Arsenal,eng Premier League,23.0,2002.0,22,18,1448,16.1,1,2,3,1,0,0,5,0,0.19,410,it ITA,DF,eng Premier League,23-302,2002.0,16.1,1,28,6,21.4,1.74,0.37,0.04,0.17,0,0,512,it ITA,DF,eng Premier League,23-302,2002.0,22,1448,66,51.9,16.1,18,77.0,6,4,14.0,2,2.27,27,8,19,1.18,-0.16,410,it ITA,DF,eng Premier League,23-302,2002.0,16.1,5,0,0,25,9,2,21,13,18,0
Dominic Calvert-Lewin,eng ENG,FW,Leeds United,eng Premier League,29.0,1997.0,27,22,2025,22.5,10,1,11,8,2,3,1,0,0.4,415,eng ENG,FW,eng Premier League,29-001,1997.0,22.5,10,56,25,44.6,2.49,1.11,0.14,0.32,2,3,518,eng ENG,FW,eng Premier League,29-001,1997.0,27,2025,75,75.0,22.5,22,86.0,12,5,25.0,0,1.04,31,28,3,0.13,2.0,415,eng ENG,FW,eng Premier League,29-001,1997.0,22.5,1,0,0,32,30,22,7,2,4,0
Jaydee Canvot,fr FRA,DF,Crystal Palace,eng Premier League,19.0,2006.0,13,7,706,7.8,0,0,0,0,0,0,2,0,0.0,437,fr FRA,DF,eng Premier League,19-231,2006.0,7.8,0,3,0,0.0,0.38,0.0,0.0,,0,0,545,fr FRA,DF,eng Premier League,19-231,2006.0,13,706,54,26.1,7.8,7,85.0,5,6,19.0,13,1.69,6,9,-3,-0.38,-0.43,437,fr FRA,DF,eng Premier League,19-231,2006.0,7.8,2,0,0,9,3,0,3,6,13,0
Fabio Carvalho,pt POR,MF,Brentford,eng Premier League,23.0,2002.0,6,1,102,1.1,1,0,1,1,0,0,0,0,0.88,460,pt POR,MF,eng Premier League,23-199,2002.0,1.1,1,2,1,50.0,1.76,0.88,0.5,1.0,0,0,575,pt POR,MF,eng Premier League,23-199,2002.0,6,102,17,3.8,1.1,1,90.0,1,5,2.0,4,0.17,2,4,-2,-1.76,-1.97,460,pt POR,MF,eng Premier League,23-199,2002.0,1.1,0,0,0,0,0,0,5,0,2,0
Casemiro,br BRA,MF,Manchester Utd,eng Premier League,34.0,1992.0,28,27,2050,22.8,7,2,9,7,0,0,9,1,0.4,464,br BRA,MF,eng Premier League,34-022,1992.0,22.8,7,43,14,32.6,1.89,0.61,0.16,0.5,0,0,579,br BRA,MF,eng Premier League,34-022,1992.0,28,2050,73,75.9,22.8,27,76.0,9,1,11.0,0,1.93,43,22,21,0.92,2.03,464,br BRA,MF,eng Premier League,34-022,1992.0,22.8,9,1,1,39,27,3,15,21,34,0
Matty Cash,pl POL,DF,Aston Villa,eng Premier League,28.0,1997.0,27,27,2351,26.1,3,2,5,3,0,0,7,0,0.19,465,pl POL,DF,eng Premier League,28-222,1997.0,26.1,3,25,9,36.0,0.96,0.34,0.12,0.33,0,0,582,pl POL,DF,eng Premier League,28-222,1997.0,27,2351,87,87.1,26.1,27,87.0,21,0,,0,1.78,35,27,8,0.31,1.6,465,pl POL,DF,eng Premier League,28-222,1997.0,26.1,7,0,0,37,25,3,100,20,22,0
Valentín Castellanos,ar ARG,FW,West Ham United,eng Premier League,27.0,1998.0,10,10,815,9.1,2,0,2,2,0,0,2,0,0.22,470,ar ARG,FW,eng Premier League,27-165,1998.0,9.1,2,21,8,38.1,2.32,0.88,0.1,0.25,0,0,589,ar ARG,FW,eng Premier League,27-165,1998.0,10,815,82,30.2,9.1,10,82.0,3,0,,0,1.5,14,12,2,0.22,1.22,470,ar ARG,FW,eng Premier League,27-165,1998.0,9.1,2,0,0,19,9,5,4,1,5,0
Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,26.0,1999.0,29,29,2550,28.3,3,0,3,3,0,0,3,1,0.11,492,eng ENG,DF,eng Premier League,26-255,1999.0,28.3,3,14,5,35.7,0.49,0.18,0.21,0.6,0,0,617,eng ENG,DF,eng Premier League,26-255,1999.0,29,2550,88,94.4,28.3,29,88.0,27,0,,0,1.55,51,31,20,0.71,1.91,492,eng ENG,DF,eng Premier League,26-255,1999.0,28.3,3,1,0,20,18,2,5,35,22,0
Rayan Cherki,fr FRA,MF,Manchester City,eng Premier League,22.0,2003.0,25,14,1308,14.5,3,8,11,3,0,0,1,0,0.76,505,fr FRA,MF,eng Premier League,22-212,2003.0,14.5,3,33,8,24.2,2.27,0.55,0.09,0.38,0,0,637,fr FRA,MF,eng Premier League,22-212,2003.0,25,1308,52,48.4,14.5,14,76.0,3,11,22.0,1,2.04,28,14,14,0.96,-0.2,505,fr FRA,MF,eng Premier League,22-212,2003.0,14.5,1,0,0,14,30,1,58,7,15,0
Federico Chiesa,it ITA,MF,Liverpool,eng Premier League,28.0,1997.0,22,1,282,3.1,2,1,3,2,0,0,2,0,0.96,508,it ITA,MF,eng Premier League,28-143,1997.0,3.1,2,15,4,26.7,4.79,1.28,0.13,0.5,0,0,641,it ITA,MF,eng Premier League,28-143,1997.0,22,282,13,10.4,3.1,1,60.0,0,21,11.0,6,1.59,14,7,7,2.23,2.16,508,it ITA,MF,eng Premier League,28-143,1997.0,3.1,2,0,0,8,5,2,14,4,5,0
Tawanda Chirewa,zw ZIM,MF,Wolves,eng Premier League,22.0,2003.0,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,510,zw ZIM,MF,eng Premier League,22-157,2003.0,0.3,0,0,0,,0.0,0.0,,,0,0,643,zw ZIM,MF,eng Premier League,22-157,2003.0,2,27,14,1.0,0.3,0,,0,2,14.0,5,1.5,0,0,0,0.0,0.98,510,zw ZIM,MF,eng Premier League,22-157,2003.0,0.3,0,0,0,3,1,0,0,0,0,0
Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,31.0,1995.0,20,4,655,7.3,1,0,1,1,0,0,2,0,0.14,513,sct SCO,MF,eng Premier League,31-023,1995.0,7.3,1,18,5,27.8,2.47,0.69,0.06,0.2,0,0,648,sct SCO,MF,eng Premier League,31-023,1995.0,20,655,33,24.3,7.3,4,68.0,0,16,24.0,1,1.6,11,10,1,0.14,0.27,513,sct SCO,MF,eng Premier League,31-023,1995.0,7.3,2,0,0,13,16,1,14,5,13,0
Samuel Chukwueze,ng NGA,MF,Fulham,eng Premier League,26.0,1999.0,16,7,779,8.7,3,4,7,3,0,0,0,0,0.81,516,ng NGA,MF,eng Premier League,26-299,1999.0,8.7,3,18,6,33.3,2.08,0.69,0.17,0.5,0,0,651,ng NGA,MF,eng Premier League,26-299,1999.0,16,779,49,28.9,8.7,7,78.0,2,9,26.0,1,1.19,14,17,-3,-0.35,-0.35,516,ng NGA,MF,eng Premier League,26-299,1999.0,8.7,0,0,0,5,10,3,28,5,4,0
Dennis Cirkin,eng ENG,DF,Sunderland,eng Premier League,23.0,2002.0,7,3,304,3.4,0,0,0,0,0,0,1,0,0.0,519,eng ENG,DF,eng Premier League,23-345,2002.0,3.4,0,1,0,0.0,0.3,0.0,0.0,,0,0,657,eng ENG,DF,eng Premier League,23-345,2002.0,7,304,43,11.3,3.4,3,79.0,2,4,17.0,4,0.86,2,2,0,0.0,0.19,519,eng ENG,DF,eng Premier League,23-345,2002.0,3.4,1,0,0,3,2,0,3,5,5,0
Nathaniel Clyne,eng ENG,MF,Crystal Palace,eng Premier League,34.0,1991.0,8,6,495,5.5,0,1,1,0,0,0,1,0,0.18,525,eng ENG,MF,eng Premier League,34-346,1991.0,5.5,0,3,0,0.0,0.55,0.0,0.0,,0,0,664,eng ENG,MF,eng Premier League,34-346,1991.0,8,495,62,18.3,5.5,6,69.0,0,2,41.0,18,1.25,5,9,-4,-0.73,-0.81,525,eng ENG,MF,eng Premier League,34-346,1991.0,5.5,1,0,0,4,1,0,14,7,9,0
Séamus Coleman,ie IRL,DF,Everton,eng Premier League,37.0,1988.0,3,1,11,0.1,0,0,0,0,0,0,0,0,0.0,527,ie IRL,DF,eng Premier League,37-157,1988.0,0.1,0,0,0,,0.0,0.0,,,0,0,668,ie IRL,DF,eng Premier League,37-157,1988.0,3,11,4,0.4,0.1,1,9.0,0,2,1.0,14,3.0,0,0,0,0.0,0.03,527,ie IRL,DF,eng Premier League,37-157,1988.0,0.1,0,0,0,0,1,0,1,0,0,0
Nathan Collins,ie IRL,DF,Brentford,eng Premier League,24.0,2001.0,27,24,2255,25.1,1,2,3,1,0,0,5,0,0.12,529,ie IRL,DF,eng Premier League,24-321,2001.0,25.1,1,13,5,38.5,0.52,0.2,0.08,0.2,0,0,670,ie IRL,DF,eng Premier League,24-321,2001.0,27,2255,84,83.5,25.1,24,90.0,24,3,32.0,3,1.41,37,34,3,0.12,-0.08,529,ie IRL,DF,eng Premier League,24-321,2001.0,25.1,5,0,0,16,15,1,1,27,9,1
Diego Coppola,it ITA,DF,Brighton,eng Premier League,22.0,2003.0,5,2,194,2.2,0,0,0,0,0,0,2,0,0.0,543,it ITA,DF,eng Premier League,22-079,2003.0,2.2,0,0,0,,0.0,0.0,,,0,0,688,it ITA,DF,eng Premier League,22-079,2003.0,5,194,39,7.2,2.2,2,88.0,1,3,6.0,17,1.6,1,3,-2,-0.93,-1.11,543,it ITA,DF,eng Premier League,22-079,2003.0,2.2,2,0,0,4,0,0,0,1,2,0
Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,27.0,1998.0,26,23,1987,22.1,1,3,4,1,0,0,5,1,0.18,578,es ESP,DF,eng Premier League,27-238,1998.0,22.1,1,15,4,26.7,0.68,0.18,0.07,0.25,0,0,729,es ESP,DF,eng Premier League,27-238,1998.0,26,1987,76,73.6,22.1,23,82.0,18,3,34.0,0,1.73,41,20,21,0.95,1.33,578,es ESP,DF,eng Premier League,27-238,1998.0,22.1,5,1,0,33,20,1,25,19,32,0
Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,26.0,1999.0,14,11,933,10.4,0,0,0,0,0,0,5,0,0.0,579,es ESP,DF,eng Premier League,26-120,1999.0,10.4,0,1,0,0.0,0.1,0.0,0.0,,0,0,732,es ESP,DF,eng Premier League,26-120,1999.0,14,933,67,34.6,10.4,11,84.0,7,3,3.0,13,1.71,9,11,-2,-0.19,-0.14,579,es ESP,DF,eng Premier League,26-120,1999.0,10.4,5,0,0,9,1,1,2,15,10,0
Josh Cullen,ie IRL,MF,Burnley,eng Premier League,29.0,1996.0,18,18,1514,16.8,2,2,4,2,0,0,2,0,0.24,581,ie IRL,MF,eng Premier League,29-344,1996.0,16.8,2,11,6,54.5,0.65,0.36,0.18,0.33,0,0,734,ie IRL,MF,eng Premier League,29-344,1996.0,18,1514,84,56.1,16.8,18,84.0,12,0,,0,0.67,18,29,-11,-0.65,0.48,581,ie IRL,MF,eng Premier League,29-344,1996.0,16.8,2,0,0,16,18,0,12,24,19,1
Jair Cunha,br BRA,DF,Nottingham Forest,eng Premier League,21.0,2005.0,3,2,215,2.4,0,0,0,0,0,0,0,0,0.0,583,br BRA,DF,eng Premier League,21-010,2005.0,2.4,0,2,0,0.0,0.84,0.0,0.0,,0,0,736,br BRA,DF,eng Premier League,21-010,2005.0,3,215,72,8.0,2.4,2,90.0,2,1,35.0,14,0.33,2,4,-2,-0.84,-0.37,583,br BRA,DF,eng Premier League,21-010,2005.0,2.4,0,0,0,0,1,0,0,3,3,0
Mikkel Damsgaard,dk DEN,MF,Brentford,eng Premier League,25.0,2000.0,26,18,1575,17.5,3,4,7,3,0,0,0,0,0.4,595,dk DEN,MF,eng Premier League,25-257,2000.0,17.5,3,20,9,45.0,1.14,0.51,0.15,0.33,0,0,751,dk DEN,MF,eng Premier League,25-257,2000.0,26,1575,61,58.3,17.5,18,78.0,6,8,22.0,2,1.54,30,26,4,0.23,0.23,595,dk DEN,MF,eng Premier League,25-257,2000.0,17.5,0,0,0,15,18,3,83,18,25,0
Kevin Danso,at AUT,DF,Tottenham Hotspur,eng Premier League,27.0,1998.0,16,10,843,9.4,0,0,0,0,0,0,4,0,0.0,598,at AUT,DF,eng Premier League,27-179,1998.0,9.4,0,3,1,33.3,0.32,0.11,0.0,0.0,0,0,754,at AUT,DF,eng Premier League,27-179,1998.0,16,843,53,31.2,9.4,10,81.0,7,6,5.0,10,1.38,12,17,-5,-0.53,-0.44,598,at AUT,DF,eng Premier League,27-179,1998.0,9.4,4,0,0,11,8,0,5,8,8,0
Ben Davies,wls WAL,DF,Tottenham Hotspur,eng Premier League,32.0,1993.0,3,2,137,1.5,1,0,1,1,0,0,1,0,0.66,609,wls WAL,DF,eng Premier League,32-327,1993.0,1.5,1,2,2,100.0,1.31,1.31,0.5,0.5,0,0,766,wls WAL,DF,eng Premier League,32-327,1993.0,3,137,46,5.1,1.5,2,53.0,0,1,32.0,11,0.33,1,3,-2,-1.31,-1.14,609,wls WAL,DF,eng Premier League,32-327,1993.0,1.5,1,0,0,2,0,0,3,1,4,0
Liam Delap,eng ENG,FW,Chelsea,eng Premier League,23.0,2003.0,21,9,783,8.7,1,0,1,1,0,0,2,0,0.11,626,eng ENG,FW,eng Premier League,23-037,2003.0,8.7,1,31,11,35.5,3.56,1.26,0.03,0.09,0,0,787,eng ENG,FW,eng Premier League,23-037,2003.0,21,783,37,29.0,8.7,9,62.0,2,12,19.0,0,1.62,16,13,3,0.34,-0.36,626,eng ENG,FW,eng Premier League,23-037,2003.0,8.7,2,0,0,17,14,2,6,1,3,0
Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,24.0,2001.0,25,24,2214,24.6,0,1,1,0,0,0,1,0,0.04,635,nl NED,DF,eng Premier League,24-087,2001.0,24.6,0,20,6,30.0,0.81,0.24,0.0,0.0,0,0,799,nl NED,DF,eng Premier League,24-087,2001.0,25,2214,89,82.0,24.6,24,90.0,24,1,54.0,4,1.4,35,36,-1,-0.04,-0.97,635,nl NED,DF,eng Premier League,24-087,2001.0,24.6,1,0,0,12,9,0,0,24,6,0
Kiernan Dewsbury-Hall,eng ENG,MF,Everton,eng Premier League,27.0,1998.0,23,22,1917,21.3,6,3,9,6,0,0,6,0,0.42,644,eng ENG,MF,eng Premier League,27-192,1998.0,21.3,6,29,10,34.5,1.36,0.47,0.21,0.6,0,0,809,eng ENG,MF,eng Premier League,27-192,1998.0,23,1917,83,71.0,21.3,22,85.0,14,1,45.0,0,1.39,25,25,0,0.0,0.11,644,eng ENG,MF,eng Premier League,27-192,1998.0,21.3,6,0,0,25,38,1,89,11,17,0
Bafodé Diakité,fr FRA,DF,Bournemouth,eng Premier League,25.0,2001.0,18,15,1277,14.2,0,0,0,0,0,0,1,0,0.0,651,fr FRA,DF,eng Premier League,25-070,2001.0,14.2,0,1,0,0.0,0.07,0.0,0.0,,0,0,819,fr FRA,DF,eng Premier League,25-070,2001.0,18,1277,71,47.3,14.2,15,84.0,13,3,6.0,11,1.28,21,27,-6,-0.42,-0.68,651,fr FRA,DF,eng Premier League,25-070,2001.0,14.2,1,0,0,8,4,2,1,10,15,0
Amad Diallo,ci CIV,MF,Manchester Utd,eng Premier League,23.0,2002.0,24,21,1828,20.3,2,2,4,2,0,0,2,0,0.2,652,ci CIV,MF,eng Premier League,23-249,2002.0,20.3,2,41,16,39.0,2.02,0.79,0.05,0.13,0,0,820,ci CIV,MF,eng Premier League,23-249,2002.0,24,1828,76,67.7,20.3,21,84.0,15,3,22.0,0,2.0,40,25,15,0.74,0.94,652,ci CIV,MF,eng Premier League,23-249,2002.0,20.3,2,0,0,18,33,11,40,12,18,0
Habib Diarra,sn SEN,MF,Sunderland,eng Premier League,22.0,2004.0,13,11,1014,11.3,2,0,2,1,1,1,4,0,0.09,658,sn SEN,MF,eng Premier League,22-073,2004.0,11.3,2,16,6,37.5,1.42,0.53,0.06,0.17,1,1,827,sn SEN,MF,eng Premier League,22-073,2004.0,13,1014,78,37.6,11.3,11,86.0,6,2,36.0,0,1.15,10,10,0,0.0,0.27,658,sn SEN,MF,eng Premier League,22-073,2004.0,11.3,4,0,0,13,17,1,17,3,3,0
Rúben Dias,pt POR,DF,Manchester City,eng Premier League,28.0,1997.0,25,23,2051,22.8,2,0,2,2,0,0,3,0,0.09,660,pt POR,DF,eng Premier League,28-307,1997.0,22.8,2,10,4,40.0,0.44,0.18,0.2,0.5,0,0,830,pt POR,DF,eng Premier League,28-307,1997.0,25,2051,82,76.0,22.8,23,88.0,21,2,18.0,1,2.2,53,20,33,1.45,1.59,660,pt POR,DF,eng Premier League,28-307,1997.0,22.8,3,0,0,14,9,0,9,22,6,0
Tyler Dibling,eng ENG,MF,Everton,eng Premier League,20.0,2006.0,14,4,358,4.0,0,0,0,0,0,0,2,0,0.0,669,eng ENG,MF,eng Premier League,20-005,2006.0,4.0,0,4,0,0.0,1.01,0.0,0.0,,0,0,841,eng ENG,MF,eng Premier League,20-005,2006.0,14,358,26,13.3,4.0,4,67.0,1,10,9.0,14,1.14,4,2,2,0.5,0.62,669,eng ENG,MF,eng Premier League,20-005,2006.0,4.0,2,0,0,11,11,0,7,6,3,0
Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,32.0,1993.0,25,17,1467,16.3,0,4,4,0,0,0,3,0,0.25,673,fr FRA,DF,eng Premier League,32-240,1993.0,16.3,0,10,5,50.0,0.61,0.31,0.0,0.0,0,0,845,fr FRA,DF,eng Premier League,32-240,1993.0,25,1467,59,54.3,16.3,17,79.0,7,8,16.0,5,1.76,21,17,4,0.25,0.32,673,fr FRA,DF,eng Premier League,32-240,1993.0,16.3,3,0,0,11,11,3,83,10,19,0
