Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
Justin Bijlow,nl NED,GK,Genoa,it Serie A,28.0,1998.0,8,8,720,8.0,0,0,0,0,0,0,0,0,0.0,15.0,nl NED,GK,it Serie A,28-054,1998.0,8.0,8.0,720.0,8.0,11.0,1.37,28.0,21.0,75.0,4.0,1.0,3.0,3.0,37.5,4.0,4.0,0.0,0.0,299,nl NED,GK,it Serie A,28-054,1998.0,8.0,0,0,0,,0.0,0.0,,,0,0,378,nl NED,GK,it Serie A,28-054,1998.0,8,720,90,27.6,8.0,8,90.0,8,0,,0,1.63,14,11,3,0.37,0.71,299,nl NED,GK,it Serie A,28-054,1998.0,8.0,0,0,0,0,1,0,0,0,0,0
Janis Blaswich,de GER,GK,Leverkusen,de Bundesliga,34.0,1991.0,10,9,841,9.3,0,0,0,0,0,0,0,0,0.0,17.0,de GER,GK,de Bundesliga,34-319,1991.0,10.0,9.0,841.0,9.3,8.0,0.86,41.0,33.0,80.5,4.0,4.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,310,de GER,GK,de Bundesliga,34-319,1991.0,9.3,0,0,0,,0.0,0.0,,,0,0,392,de GER,GK,de Bundesliga,34-319,1991.0,10,841,84,35.9,9.3,9,90.0,9,1,31.0,14,1.6,15,8,7,0.75,0.21,310,de GER,GK,de Bundesliga,34-319,1991.0,9.3,0,0,0,0,0,0,0,0,0,0
Arnaud Bodart,be BEL,GK,Lille,fr Ligue 1,28.0,1998.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,18.0,be BEL,GK,fr Ligue 1,28-006,1998.0,2.0,2.0,180.0,2.0,3.0,1.5,5.0,3.0,60.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,316,be BEL,GK,fr Ligue 1,28-006,1998.0,2.0,0,0,0,,0.0,0.0,,,0,0,400,be BEL,GK,fr Ligue 1,28-006,1998.0,2,180,90,7.7,2.0,2,90.0,2,0,,24,0.0,0,3,-3,-1.5,-1.92,316,be BEL,GK,fr Ligue 1,28-006,1998.0,2.0,0,0,0,1,0,0,0,0,0,0
Jean Butez,fr FRA,GK,Como,it Serie A,30.0,1995.0,29,29,2610,29.0,0,0,0,0,0,0,3,0,0.0,19.0,fr FRA,GK,it Serie A,30-282,1995.0,29.0,29.0,2610.0,29.0,22.0,0.76,89.0,71.0,79.8,15.0,9.0,5.0,13.0,44.8,5.0,4.0,1.0,0.0,396,fr FRA,GK,it Serie A,30-282,1995.0,29.0,0,0,0,,0.0,0.0,,,0,0,497,fr FRA,GK,it Serie A,30-282,1995.0,29,2610,90,100.0,29.0,29,90.0,29,0,,0,1.86,48,22,26,0.9,,396,fr FRA,GK,it Serie A,30-282,1995.0,29.0,3,0,0,0,8,0,0,0,1,0
Elia Caprile,it ITA,GK,Cagliari,it Serie A,24.0,2001.0,29,29,2610,29.0,0,0,0,0,0,0,2,0,0.0,20.0,it ITA,GK,it Serie A,24-204,2001.0,29.0,29.0,2610.0,29.0,41.0,1.41,137.0,97.0,71.5,7.0,9.0,13.0,6.0,20.7,2.0,2.0,0.0,0.0,440,it ITA,GK,it Serie A,24-204,2001.0,29.0,0,0,0,,0.0,0.0,,,0,0,548,it ITA,GK,it Serie A,24-204,2001.0,29,2610,90,100.0,29.0,29,90.0,29,0,,0,1.03,31,41,-10,-0.34,,440,it ITA,GK,it Serie A,24-204,2001.0,29.0,2,0,0,0,8,0,0,0,0,0
Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,34.0,1992.0,2,1,92,1.0,0,0,0,0,0,0,0,0,0.0,21.0,se SWE,GK,fr Ligue 1,34-068,1992.0,2.0,1.0,92.0,1.0,2.0,1.96,5.0,3.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450,se SWE,GK,fr Ligue 1,34-068,1992.0,1.0,0,0,0,,0.0,0.0,,,0,0,563,se SWE,GK,fr Ligue 1,34-068,1992.0,2,92,46,4.1,1.0,1,90.0,1,1,2.0,23,0.5,1,1,0,0.0,0.83,450,se SWE,GK,fr Ligue 1,34-068,1992.0,1.0,0,0,0,0,0,0,0,0,0,0
Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,25.0,2000.0,29,29,2610,29.0,0,0,0,0,0,0,0,0,0.0,22.0,it ITA,GK,it Serie A,25-259,2000.0,29.0,29.0,2610.0,29.0,27.0,0.93,110.0,85.0,76.4,12.0,11.0,6.0,10.0,34.5,3.0,1.0,2.0,0.0,455,it ITA,GK,it Serie A,25-259,2000.0,29.0,0,0,0,,0.0,0.0,,,0,0,569,it ITA,GK,it Serie A,25-259,2000.0,29,2610,90,100.0,29.0,29,90.0,29,0,,0,1.62,40,27,13,0.45,,455,it ITA,GK,it Serie A,25-259,2000.0,29.0,0,0,0,1,5,0,1,0,0,0
Lucas Chevalier,fr FRA,GK,Paris Saint-Germain,fr Ligue 1,24.0,2001.0,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,23.0,fr FRA,GK,fr Ligue 1,24-131,2001.0,17.0,17.0,1530.0,17.0,13.0,0.76,43.0,32.0,72.1,12.0,3.0,2.0,9.0,52.9,3.0,1.0,1.0,1.0,506,fr FRA,GK,fr Ligue 1,24-131,2001.0,17.0,0,0,0,,0.0,0.0,,,0,0,639,fr FRA,GK,fr Ligue 1,24-131,2001.0,17,1530,90,68.0,17.0,17,90.0,17,0,,7,2.29,33,13,20,1.18,-0.32,506,fr FRA,GK,fr Ligue 1,24-131,2001.0,17.0,0,0,0,0,1,0,0,0,0,0
Edoardo Corvi,it ITA,GK,Parma,it Serie A,24.0,2001.0,16,16,1440,16.0,0,0,0,0,0,0,1,0,0.0,24.0,it ITA,GK,it Serie A,24-359,2001.0,16.0,16.0,1440.0,16.0,18.0,1.13,59.0,43.0,74.6,7.0,4.0,5.0,6.0,37.5,3.0,3.0,0.0,0.0,552,it ITA,GK,it Serie A,24-359,2001.0,16.0,0,0,0,,0.0,0.0,,,0,0,699,it ITA,GK,it Serie A,24-359,2001.0,16,1440,90,55.2,16.0,16,90.0,16,0,,13,1.56,13,18,-5,-0.31,0.46,552,it ITA,GK,it Serie A,24-359,2001.0,16.0,1,0,0,0,5,0,0,0,0,0
Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26.0,1999.0,17,16,1472,16.4,0,0,0,0,0,0,0,0,0.0,25.0,fr FRA,GK,fr Ligue 1,26-348,1999.0,17.0,16.0,1472.0,16.4,21.0,1.28,69.0,50.0,71.0,9.0,2.0,5.0,6.0,37.5,2.0,1.0,1.0,0.0,557,fr FRA,GK,fr Ligue 1,26-348,1999.0,16.4,0,0,0,,0.0,0.0,,,0,0,706,fr FRA,GK,fr Ligue 1,26-348,1999.0,17,1472,87,62.9,16.4,16,90.0,16,1,32.0,9,1.71,25,21,4,0.24,0.87,557,fr FRA,GK,fr Ligue 1,26-348,1999.0,16.4,0,0,0,0,6,0,0,0,0,0
